Cluster,logAge50,Nstars,mean_30,mean_35,mean_39,mean_45,mean_50,mean_55,freqratio_20,freqratio_25,freqratio_30,freqratio_35,freqratio_39,freqratio_45,freqratio_50,freqratio_55
NGC_3496,8.54718447,703,-8.128998257571446,-6.808849628618535,0.31286294502112466,12.580145431610482,28.99653408690554,16.922521752510445,0.2642383392163556,0.5009930800681484,-0.0260177941104749,0.0134282979367907,0.960294370326788,-0.5097566727914281,-0.5992551899488887,-0.6666797292500254
UBC_1482,8.3538518,68,-8.089903455598172,-8.966008368336226,-4.442896674890089,7.00042188323495,12.47628150511786,4.7478372453502065,0.2269314880181729,-0.8712759497444431,-0.0260177941104749,0.0134282979367907,-0.4687089959114071,-0.5749509956259456,-0.6242551899488887,-0.6899355432035138
Trumpler_23,8.52057266,650,-8.05062827987781,-12.137147835852364,-8.95889273786971,-3.301208002642973,8.726070584838553,29.946595498347648,0.3626862025127778,0.5004256057434922,0.5138206713576814,0.0134282979367907,-0.0363968272004436,-0.0182124558773326,0.0016551334469139,0.0166385821124455
Pismis_18,8.50864983,366,-7.997581133059067,-8.928042167742229,-3.975915414173939,9.52772967373572,13.470285726983784,31.47961176062622,0.3002206844595886,0.5007093429058204,-0.0303540931288874,0.0134282979367907,-0.0397056296732112,-1.0227655698466656,-0.4991724332765429,-0.6349340085178833
FSR_1399,8.36771154,89,-7.914274399187332,-7.0020097014818585,1.0958327162764736,17.59713724805967,25.610561927094974,22.83383339359241,0.2544149366837037,0.135727004187963,-0.0038749906121983,0.0134282979367907,-1.0436761926405325,-0.2504374875124526,-0.6044791473146196,-0.6349340085178833
CWNU_2719,8.54775763,121,-7.879163326559813,-5.0525807652175985,-0.8605107275238021,12.715958869480934,21.506417601716038,37.91496895225273,0.3256257112003013,0.2543425606724955,0.4898819689570374,0.0134282979367907,-0.0397056296732112,-0.0195133455828564,-0.4990069199318516,-0.5969122873895604
OC_0640,8.8459754,214,-7.820068329044724,-15.556379883904832,-1.682051714962642,7.769383808184695,32.11722877095264,58.828872945161805,0.357106414781812,0.2736702531409722,0.1846543037691667,0.0134282979367907,-0.0363968272004436,-0.0182124558773326,0.0016551334469139,-9.333614178875546
BH_202,8.57639027,556,-7.809363054533422,-7.088510839907334,-3.4180356713757063,7.157338122227786,17.837154800950042,26.37414037108961,0.3252128028717461,0.500595848040889,0.5288977673842427,0.0134282979367907,-0.0397056296732112,-0.0195133455828564,17.029792402044453,-0.5969122873895604
Theia_4208,8.79245377,117,-7.766205607433856,4.906395110686887,8.18062928434764,13.798974892259453,37.269011743733955,12.916162768535253,0.2786650384474075,0.1669587490396515,-0.0303540931288874,0.0134282979367907,-1.0485291029339254,-0.5097566727914281,-0.5992551899488887,-0.6515279172216157
IC_1311,8.98282242,812,-7.687391705209813,-7.700574405713589,-25.63475055964169,2.4495912955748085,3.438547516101235,15.883586263823581,0.1592799220722509,-0.8712759497444431,-0.1626874883887717,-0.31260908733076,-0.5586897553456159,-0.6560320767070267,-0.8100056107555553,-1.0185341210486416
Ruprecht_164,8.61047649,235,-7.673758913982413,-8.269622229861815,-4.501099293290286,8.38721726249072,20.71347556036652,30.239871992201337,0.5081506523391455,0.5011458616170942,-0.0260177941104749,0.0134282979367907,-0.0397056296732112,-0.5113827849233328,-0.5992551899488887,-0.6434239152965371
HSC_2294,8.37935591,85,-7.6700648739171875,-6.986420335213628,-1.18327878382936,9.571403202105811,11.156764417089448,0.3429329596530336,0.209361749109495,-0.121275949744443,-0.0260177941104749,0.0151068351788895,-0.4969886631621583,-0.5749509956259456,-0.6090294536086719,-0.7131913571570022
Theia_267,8.34799957,72,-7.65338206309989,-1.4925917374478344,6.571366047750271,8.971101155238733,-0.10915616551341498,-5.265793637021352,0.1909748130422739,-0.121275949744443,-0.0303540931288874,-0.5223026657981695,-0.4976578491261232,-0.5861364957410522,-0.6742551899488888,-0.7967616672622219
